ID	Language_ID	Parameter_ID	Form	Segments	BorrowedScore	Essential	Borrowability
13-1-1-1	13	1-100	world	w ɜː l d	0.0	False	0.401886792453
13-1-21-1	13	1-210	land	l æ n d	0.0	False	0.268285123967
13-1-212-1	13	1-212	soil	s ɔɪ l	1.0	True	0.0999346120314
13-1-213-1	13	1-213	dust	d ʌ s t	0.0	False	0.233766233766
13-1-214-1	13	1-214	mud	m ʌ d	0.5	False	0.153973509934
13-1-215-1	13	1-215	sand	s æ n d	0.0	True	0.0994475138122
13-1-22-1	13	1-220	mountain	m aʊ n t ɪ n	1.0	False	0.173913043478
13-1-22-2	13	1-220	hill	h ɪ l	0.0	False	0.173913043478
13-1-222-1	13	1-222	cliff	k l ɪ f	0.25	False	0.165760869565
13-1-222-2	13	1-222	precipice	p r ɛ s ɪ p ɪ s	1.0	False	0.165760869565
13-1-23-1	13	1-230	plain	p l eɪ n	1.0	False	0.260073260073
13-1-24-1	13	1-240	valley	v æ l ɪ	1.0	False	0.183908045977
13-1-25-1	13	1-250	island	aɪ l ə n d	0.0	False	0.387978142077
13-1-26-1	13	1-260	mainland	m eɪ n l ə n d	0.0	False	0.423224568138
13-1-27-1	13	1-270	shore	ʃ ɔː ɹ	0.75	False	0.153273809524
13-1-28-1	13	1-280	cave	k eɪ v	1.0	False	0.195054945055
13-1-31-1	13	1-310	water	w ɔː t ə ɹ	0.0	True	0.0911062906725
13-1-32-1	13	1-320	sea	s iː	0.0	False	0.461832061069
13-1-322-1	13	1-322	calm	k ɑː m	1.0	False	0.264705882353
13-1-323-1	13	1-323	rough	r ʌ f	0.0	False	0.161290322581
13-1-324-1	13	1-324	foam	f əʊ m	0.0	False	0.148936170213
13-1-329-1	13	1-329	ocean	əʊ ʃ n̩	1.0	False	0.611650485437
13-1-33-1	13	1-330	lake	l eɪ k	1.0	False	0.21472392638
13-1-34-1	13	1-340	bay	b eɪ	1.0	False	0.344339622642
13-1-341-1	13	1-341	lagoon	l ə ɡ uː n	1.0	False	0.386904761905
13-1-342-1	13	1-342	reef	r iː f	1.0	False	0.238095238095
13-1-343-1	13	1-343	cape	k eɪ p	1.0	False	0.368421052632
13-1-35-1	13	1-350	wave	w eɪ v	0.0	False	0.133522727273
13-1-352-1	13	1-352	tide	t aɪ d	0.0	False	0.168
13-1-36-1	13	1-360	river	r ɪ v ə ɹ	1.0	False	0.223816355811
13-1-36-2	13	1-360	stream	s t r iː m	0.0	False	0.223816355811
13-1-362-1	13	1-362	whirlpool	w ɜː l p uː l	1.0	False	0.0975609756098
13-1-37-1	13	1-370	spring	s p r ɪ ŋ	0.0	False	0.205426356589
13-1-37-2	13	1-370	well	w ɛ l	0.0	False	0.205426356589
13-1-38-1	13	1-380	swamp	s w ɒ m p	0.75	False	0.208737864078
13-1-39-1	13	1-390	waterfall	w ɔː t ə f ɔː l	0.0	False	0.224719101124
13-1-41-1	13	1-410	forest	f ɒ r ɪ s t	1.0	False	0.1646884273
13-1-41-2	13	1-410	wood(s)	w ʊ d	0.0	False	0.1646884273
13-1-43-1	13	1-430	wood	w ʊ d	0.0	True	0.140122511485
13-1-44-1	13	1-440	stone	s t əʊ n	0.0	True	0.105
13-1-44-2	13	1-440	rock	r ɒ k	1.0	True	0.105
13-1-45-1	13	1-450	earthquake	ɜː θ k w eɪ k	0.0	False	0.25
13-1-51-1	13	1-510	sky	s k aɪ	1.0	False	0.273542600897
13-1-52-1	13	1-520	sun	s ʌ n	0.0	True	0.13900203666
13-1-53-1	13	1-530	moon	m uː n	0.0	True	0.284198113208
13-1-54-1	13	1-540	star	s t ɑː ɹ	0.0	True	0.1703187251
13-1-55-1	13	1-550	lightning	l aɪ t n ɪ ŋ	0.0	False	0.16
13-1-56-1	13	1-560	thunder	θ ʌ n d ə ɹ	0.0	False	0.104247104247
13-1-58-1	13	1-580	storm	s t ɔː m	0.0	False	0.235401459854
13-1-59-1	13	1-590	rainbow	r eɪ n b əʊ	0.0	False	0.136363636364
13-1-61-1	13	1-610	light	l aɪ t	0.0	False	0.208632834963
13-1-62-1	13	1-620	darkness	d ɑː k n ɪ s	0.0	False	0.147272727273
13-1-63-1	13	1-630	shadow	ʃ æ d əʊ	0.0	True	0.112745098039
13-1-63-2	13	1-630	shade	ʃ eɪ d	0.0	True	0.112745098039
13-1-64-1	13	1-640	dew	d j uː	0.0	False	0.163822525597
13-1-71-1	13	1-710	air	ɛə ɹ	1.0	False	0.47572815534
13-1-72-1	13	1-720	wind	w aɪ n d	0.0	True	0.171739130435
13-1-73-1	13	1-730	cloud	k l aʊ d	0.0	True	0.164705882353
13-1-74-1	13	1-740	fog	f ɒ ɡ	0.0	False	0.140625
13-1-75-1	13	1-750	rain	r eɪ n	0.0	True	0.0836776859504
13-1-76-1	13	1-760	snow	s n əʊ	0.0	False	0.237244897959
13-1-77-1	13	1-770	ice	aɪ s	0.0	False	0.230769230769
13-1-78-1	13	1-780	weather	w ɛ ð ə ɹ	0.0	False	0.363194444444
13-1-81-1	13	1-810	fire	f aɪ ə ɹ	0.0	True	0.0354578882858
13-1-82-1	13	1-820	flame	f l eɪ m	1.0	False	0.180036930652
13-1-83-1	13	1-830	smoke	s m əʊ k	0.0	True	0.0840517241379
13-1-84-1	13	1-840	ash	æ ʃ	0.0	True	0.147058823529
13-1-841-1	13	1-841	embers	ɛ m b ə z	0.0	False	0.247933884298
13-1-851-1	13	1-851	burn	b ɜː n	0.0	False	0.0997854077253
13-1-852-1	13	1-852	burn	b ɜː n	0.0	True	0.0493827160494
13-1-86-1	13	1-860	light	l aɪ t	0.0	False	0.0621761658031
13-1-861-1	13	1-861	extinguish	ɪ k s t ɪ ŋ ɡ w ɪ ʃ	1.0	False	0.147585345545
13-1-87-1	13	1-870	match	m æ tʃ	1.0	False	0.6689453125
13-1-88-1	13	1-880	firewood	f aɪ ə w ʊ d	0.0	False	0.0491028128031
