ID	Language_ID	Parameter_ID	Form	Segments	BorrowedScore	Essential	Borrowability
39-1-1-1	39	1-100	j’áh	ɟ’ á h	0.0	False	0.401886792453
39-1-21-1	39	1-210	j’áh	ɟ’ á h	0.0	False	0.268285123967
39-1-212-1	39	1-212	m’ǎj’	m’ ǎ ɟ’	0.0	True	0.0999346120314
39-1-213-1	39	1-213	mɔy j’ɨ̌k	m ɔ j # ɟ’ ɨ̌ k	0.0	False	0.233766233766
39-1-214-1	39	1-214	b’ɔ̌k	b’ ɔ̌ k	0.0	False	0.153973509934
39-1-215-1	39	1-215	wæg yɔ̌h	w æ g # j ɔ̌ h	0.0	True	0.0994475138122
39-1-22-1	39	1-220	pǎç	p ǎ ç	0.0	False	0.173913043478
39-1-222-1	39	1-222	pǎç	p ǎ ç	0.0	False	0.165760869565
39-1-23-1	39	1-230	hohód	h o h ó d	0.0	False	0.260073260073
39-1-25-1	39	1-250	pód	p ó d	0.0	False	0.387978142077
39-1-27-1	39	1-270	deh pə̌w	d e h # p ə̌ w	0.0	False	0.153273809524
39-1-28-1	39	1-280	pǎç mɔy	p ǎ ç # m ɔ j	0.0	False	0.195054945055
39-1-31-1	39	1-310	děh	d ě h	0.0	True	0.0911062906725
39-1-324-1	39	1-324	pǔh	p ǔ h	0.0	False	0.148936170213
39-1-33-1	39	1-330	mɔ́h	m ɔ́ h	0.0	False	0.21472392638
39-1-35-1	39	1-350	ʔaʔáb	ʔ a ʔ á b	0.0	False	0.133522727273
39-1-35-2	39	1-350	capáw’	c a p á w’	0.0	False	0.133522727273
39-1-36-1	39	1-360	dehmí	d e h m í	0.0	False	0.223816355811
39-1-36-2	39	1-360	má	m á	1.0	False	0.223816355811
39-1-362-1	39	1-362	wɔ̃wɔ̃´y’	w ɔ̃ w ɔ̃´ j’	0.0	False	0.0975609756098
39-1-37-1	39	1-370	děh mɔy	d ě h # m ɔ j	0.0	False	0.205426356589
39-1-38-1	39	1-380	b’ɔ̌k	b’ ɔ̌ k	0.0	False	0.208737864078
39-1-39-1	39	1-390	hǔh	h ǔ h	0.0	False	0.224719101124
39-1-41-1	39	1-410	j’ǔg	ɟ’ ǔ g	0.0	False	0.1646884273
39-1-41-2	39	1-410	hǎy	h ǎ j	0.0	False	0.1646884273
39-1-43-1	39	1-430	těg	t ě g	0.0	True	0.140122511485
39-1-44-1	39	1-440	pǎç	p ǎ ç	0.0	True	0.105
39-1-45-1	39	1-450	j’áh y’ũy’ũ´y’	ɟ’ á h # j’ ũ j’ ũ´ j’	0.0	False	0.25
39-1-51-1	39	1-510	pǎç	p ǎ ç	0.0	False	0.273542600897
39-1-52-1	39	1-520	wædhɔ́	w æ dh ɔ́	0.0	True	0.13900203666
39-1-53-1	39	1-530	wædhɔ́	w æ dh ɔ́	0.0	True	0.284198113208
39-1-54-1	39	1-540	wædhɔm’æ̌h	w æ dh ɔ m’ æ̌ h	0.0	True	0.1703187251
39-1-55-1	39	1-550	cə́p	c ə́ p	0.0	False	0.16
39-1-56-1	39	1-560	pæ̃y	p æ̃ j	0.0	False	0.104247104247
39-1-57-1	39	1-570	pæ̃y	p æ̃ j	0.0	False	0.255681818182
39-1-58-1	39	1-580	bohǒt pɨ́b	b o h ǒ t # p ɨ́ b	0.0	False	0.235401459854
39-1-59-1	39	1-590	cɔ́	c ɔ́	0.0	False	0.136363636364
39-1-61-1	39	1-610	b’ág	b’ á g	0.0	False	0.208632834963
39-1-62-1	39	1-620	baʔtúk	b a ʔ t ú k	0.0	False	0.147272727273
39-1-63-1	39	1-630	nɨ́m	n ɨ́ m	0.0	True	0.112745098039
39-1-64-1	39	1-640	wædhɔm’æ̌h nɔcáw	w æ dh ɔ m’ æ̌ h # n ɔ c á w	0.0	False	0.163822525597
39-1-64-2	39	1-640	paç náŋ	p a ç # n á ŋ	0.0	False	0.163822525597
39-1-72-1	39	1-720	bohót	b o h ó t	0.0	True	0.171739130435
39-1-73-1	39	1-730	j’ɨk kudú	ɟ’ ɨ k # k u d ú	0.0	True	0.164705882353
39-1-74-1	39	1-740	j’ɨ̌k	ɟ’ ɨ̌ k	0.0	False	0.140625
39-1-75-1	39	1-750	děh	d ě h	0.0	True	0.0836776859504
39-1-77-1	39	1-770	cédu	c é d u	1.0	False	0.230769230769
39-1-77-2	39	1-770	děh m’ǽ	d ě h # m’ ǽ	0.0	False	0.230769230769
39-1-81-1	39	1-810	teg hɔ̃	t e g # h ɔ̃	0.0	True	0.0354578882858
39-1-82-1	39	1-820	teg hɔ̃	t e g # h ɔ̃	0.0	False	0.180036930652
39-1-83-1	39	1-830	j’ɨ̌k	ɟ’ ɨ̌ k	0.0	True	0.0840517241379
39-1-84-1	39	1-840	teg hɔ́w	t e g # h ɔ́ w	0.0	True	0.147058823529
39-1-841-1	39	1-841	teg hɔ̃	t e g # h ɔ̃	0.0	False	0.247933884298
39-1-851-1	39	1-851	tujd’ak-	t u ɟ d’ a k	0.0	False	0.0997854077253
39-1-852-1	39	1-852	hɔ̃-	h ɔ̃	0.0	True	0.0493827160494
39-1-86-1	39	1-860	tujd’ak-	t u ɟ d’ a k	0.0	False	0.0621761658031
39-1-86-2	39	1-860	tǝʔ-	t ǝ ʔ	0.0	False	0.0621761658031
39-1-861-1	39	1-861	d’ɔk-	d’ ɔ k	0.0	False	0.147585345545
39-1-87-1	39	1-870	teg cáʔ	t e g # c á ʔ	0.0	False	0.6689453125
39-1-88-1	39	1-880	těg	t ě g	0.0	False	0.0491028128031
39-1-89-1	39	1-890	teg cə̌h	t e g # c ə̌ h	0.0	False	0.258823529412
39-2-1-1	39	2-100	húp	h ú p	0.0	True	0.32299270073
39-2-21-1	39	2-210	tiyǐʔ	t i j ǐ ʔ	0.0	True	0.0962877030162
39-2-22-1	39	2-220	tãʔáy	t ã ʔ á j	0.0	True	0.157498824636
39-2-23-1	39	2-230	tiyǐʔ	t i j ǐ ʔ	0.0	False	0.189476168004
39-2-24-1	39	2-240	tãʔáy	t ã ʔ á j	0.0	False	0.157597876576
39-2-25-1	39	2-250	tiyiʔ dóʔ	t i j i ʔ # d ó ʔ	0.0	False	0.169642857143
39-2-251-1	39	2-251	-pæcǽw	p æ c ǽ w	0.0	False	0.243203883495
39-2-26-1	39	2-260	tãʔãy dóʔ	t ã ʔ ã j # d ó ʔ	0.0	False	0.142448512586
39-2-261-1	39	2-261	taʔacáw	t a ʔ a c á w	0.0	False	0.17094017094
39-2-27-1	39	2-270	-dóʔ	d ó ʔ	0.0	False	0.154699738903
39-2-28-1	39	2-280	hɔ̃wǽ	h ɔ̃ w ǽ	0.75	False	0.221811460259
39-2-31-1	39	2-310	tæ̃hʔíp	t æ̃ h ʔ í p	0.0	False	0.199845480299
39-2-32-1	39	2-320	tæ̃hʔín	t æ̃ h ʔ í n	0.0	False	0.183438155136
39-2-33-1	39	2-330	dapũh j’ɨ̃p-	d a p ũ h # ɟ’ ɨ̃ p	0.0	False	0.139645776567
39-2-33-2	39	2-330	d’oʔ-	d’ o ʔ	0.0	False	0.139645776567
39-2-34-1	39	2-340	dapũh j’ɨ̃p wág	d a p ũ h # ɟ’ ɨ̃ p # w á g	0.0	False	0.252808988764
39-2-35-1	39	2-350	ʔíp	ʔ í p	0.0	False	0.251601774273
39-2-36-1	39	2-360	ʔín	ʔ í n	0.0	False	0.194662480377
39-2-41-1	39	2-410	tæ̃´h	t æ̃´ h	0.0	False	0.111888111888
39-2-42-1	39	2-420	tóg	t ó g	0.0	False	0.117391304348
39-3-662-1	39	3-662	tǎy	t ǎ j	0.0	False	0.554347826087
39-2-43-1	39	2-430	tæ̃´h	t æ̃´ h	0.0	True	0.0709459459459
39-2-44-1	39	2-440	báb’	b á b’	0.5	False	0.063270832029
39-2-444-1	39	2-444	cə̌t	c ə̌ t	0.0	False	0.0628418214226
39-2-445-1	39	2-445	yãwám	j ã w á m	0.0	False	0.0308275018683
39-2-45-1	39	2-450	ʔũhʔãy	ʔ ũ h ʔ ã j	0.0	False	0.117514603896
39-2-454-1	39	2-454	cǝtʔãy	c ǝ t ʔ ã j	0.0	False	0.05502417729
39-2-455-1	39	2-455	yãwãmʔãy	j ã w ã m ʔ ã j	0.0	False	0.0111165383773
39-2-455-2	39	2-455	babmã´y	b a b m ã´ j	0.0	False	0.0111165383773
39-2-456-1	39	2-456	báb’	b á b’	0.5	False	0.170645125224
39-2-456-2	39	2-456	ʔũˇh	ʔ ũ ˇh	0.0	False	0.170645125224
39-2-458-1	39	2-458	báb’d’ǝh	b á b’ d’ ǝ h	0.0	False	0.230079681275
39-2-46-1	39	2-460	ʔǔw	ʔ ǔ w	0.0	False	0.266843971631
39-2-461-1	39	2-461	-wǝhə́d	w ǝ h ə́ d	0.0	False	0.229511970534
39-2-47-1	39	2-470	ʔɔ́h	ʔ ɔ́ h	0.0	False	0.271452145215
39-2-471-1	39	2-471	-wá	w á	0.0	False	0.187074829932
39-2-48-1	39	2-480	dú	d ú	0.0	False	0.0951248513674
39-2-49-1	39	2-490	dú	d ú	0.0	False	0.10456796918
39-2-511-1	39	2-511	g’ɔ́t	g’ ɔ́ t	0.0	False	0.21123767426
39-2-512-1	39	2-512	pã´ç	p ã´ ç	0.0	False	0.215423606083
39-2-521-1	39	2-521	ʔinhã´ç	ʔ i n h ã´ ç	0.0	False	0.21676300578
39-2-522-1	39	2-522	pæ̃ʔǽy’	p æ̃ ʔ ǽ j’	0.0	False	0.277013076394
39-2-53-1	39	2-530	tæ̃´h	t æ̃´ h	0.0	False	0.189051918736
39-2-54-1	39	2-540	tóg	t ó g	0.0	False	0.145631067961
39-2-55-1	39	2-550	báb’	b á b’	0.5	False	0.124176857949
39-2-56-1	39	2-560	dúd’ǝh	d ú d’ ǝ h	0.0	False	0.278481012658
39-2-57-1	39	2-570	dúd’ǝh	d ú d’ ǝ h	0.0	False	0.345454545455
39-2-61-1	39	2-610	g’ɔ́t	g’ ɔ́ t	0.0	False	0.125486381323
