ID	Language_ID	Parameter_ID	Form	Segments	BorrowedScore	Essential	Borrowability
37-1-1-1	37	1-100	pacha mama	p a tʃ a # m a m a	0.0	False	0.401886792453
37-1-21-1	37	1-210	allpa	a ʒ p a	0.0	False	0.268285123967
37-1-212-1	37	1-212	allpa	a ʒ p a	0.0	True	0.0999346120314
37-1-213-1	37	1-213	allpa jaku	a ʒ p a # x a k u	0.0	False	0.233766233766
37-1-214-1	37	1-214	turu	t u ɾ u	0.0	False	0.153973509934
37-1-215-1	37	1-215	tiyu	t i j u	0.0	True	0.0994475138122
37-1-22-1	37	1-220	urku	u ɾ k u	0.0	False	0.173913043478
37-1-222-1	37	1-222	jaka	x a k a	0.0	False	0.165760869565
37-1-23-1	37	1-230	pamba	p a m b a	0.0	False	0.260073260073
37-1-24-1	37	1-240	yunga	j u ŋ g a	0.0	False	0.183908045977
37-1-27-1	37	1-270	manya	m a n j a	0.0	False	0.153273809524
37-1-28-1	37	1-280	utuju	u t u x u	0.0	False	0.195054945055
37-1-31-1	37	1-310	yaku	j a k u	0.0	True	0.0911062906725
37-1-32-1	37	1-320	mama kucha	m a m a # k u tʃ a	0.0	False	0.461832061069
37-1-324-1	37	1-324	putsuju	p u ts u x u	0.0	False	0.148936170213
37-1-329-1	37	1-329	mama kucha	m a m a # k u tʃ a	0.0	False	0.611650485437
37-1-33-1	37	1-330	kucha	k u tʃ a	0.0	False	0.21472392638
37-1-341-1	37	1-341	kucha	k u tʃ a	0.0	False	0.386904761905
37-1-35-1	37	1-350	yaku wambuy	j a k u # w a m b u j	0.0	False	0.133522727273
37-1-352-1	37	1-352	yaku wambuy	j a k u # w a m b u j	0.0	False	0.168
37-1-36-1	37	1-360	mayu	m a j u	0.0	False	0.223816355811
37-1-362-1	37	1-362	yaku akapana	j a k u # a k a p a n a	0.0	False	0.0975609756098
37-1-37-1	37	1-370	pukyu	p u k j u	0.0	False	0.205426356589
37-1-38-1	37	1-380	turu allpa	t u ɾ u # a ʒ p a	0.0	False	0.208737864078
37-1-39-1	37	1-390	fajcha	ɸ a x tʃ a	0.0	False	0.224719101124
37-1-41-1	37	1-410	sacha	s a tʃ a	0.0	False	0.1646884273
37-1-43-1	37	1-430	kaspi	k a s p i	0.0	True	0.140122511485
