ID	Language_ID	Parameter_ID	Form	Segments	BorrowedScore	Essential	Borrowability
40-1-1-1	40	1-100	hunhat	h u n̥ a t	0.0	False	0.401886792453
40-1-21-1	40	1-210	hunhat	h u n̥ a t	0.0	False	0.268285123967
40-1-212-1	40	1-212	hunhat	h u n̥ a t	0.0	True	0.0999346120314
40-1-213-1	40	1-213	hulu	h u l u	0.0	False	0.233766233766
40-1-213-2	40	1-213	lamukw	l a m u kʷ	0.0	False	0.233766233766
40-1-214-1	40	1-214	iyhot	i j h o t	0.0	False	0.153973509934
40-1-215-1	40	1-215	alena	a l e n a	1.0	True	0.0994475138122
40-1-22-1	40	1-220	tachenaj	t a tʃ e n a x	0.0	False	0.173913043478
40-1-222-1	40	1-222	tewuk katchenaj	t e w u k # k a t tʃ e n a x	0.0	False	0.165760869565
40-1-23-1	40	1-230	alhu	a lˠ u	0.0	False	0.260073260073
40-1-24-1	40	1-240	lakawayhi	l a k a w a j h i	0.0	False	0.183908045977
40-1-25-1	40	1-250	lhiletaj	lˠ i l e t a x	0.0	False	0.387978142077
40-1-27-1	40	1-270	tewuk lhip	t e w u k # lˠ i p	0.0	False	0.153273809524
40-1-28-1	40	1-280	chuwej	tʃ u w e x	0.0	False	0.195054945055
40-1-31-1	40	1-310	inot	i n o t	0.0	True	0.0911062906725
40-1-32-1	40	1-320	inot litak	i n o t # l i t a k	0.0	False	0.461832061069
40-1-322-1	40	1-322	iwutamsecha	i w u t a m s e tʃ a	0.0	False	0.264705882353
40-1-323-1	40	1-323	nilhek’alhi	n i lˠ e k ʔ a lˠ i	0.0	False	0.161290322581
40-1-324-1	40	1-324	lakuj	l a k u x	0.0	False	0.148936170213
40-1-329-1	40	1-329	inot litak	i n o t # l i t a k	0.0	False	0.611650485437
40-1-33-1	40	1-330	lawumek	l a w u m e k	0.0	False	0.21472392638
40-1-33-2	40	1-330	lhemchitaj	lˠ e m tʃ i t a x	0.0	False	0.21472392638
40-1-341-1	40	1-341	lawumek	l a w u m e k	0.0	False	0.386904761905
40-1-35-1	40	1-350	komoktaj	k o m o k t a x	0.0	False	0.133522727273
40-1-36-1	40	1-360	tewuk	t e w u k	0.0	False	0.223816355811
40-1-362-1	40	1-362	lalenchitaj	l a l e n tʃ i t a x	0.0	False	0.0975609756098
40-1-38-1	40	1-380	inotw’et	i n o t wˀ e t	0.0	False	0.208737864078
40-1-39-1	40	1-390	inot n’oyij	i n o t # n ʔ o j i x	0.0	False	0.224719101124
40-1-41-1	40	1-410	tayhi	t a j h i	0.0	False	0.1646884273
40-1-43-1	40	1-430	hal’o	h a l ʔ o	0.0	True	0.140122511485
40-1-44-1	40	1-440	tente	t e n t e	0.0	True	0.105
40-1-45-1	40	1-450	hunhat w’ahi	h u n̥ a t # w ʔ a h i	0.0	False	0.25
40-1-51-1	40	1-510	pele	p e l e	0.0	False	0.273542600897
40-1-52-1	40	1-520	fwala	fʷ a l a	0.0	True	0.13900203666
40-1-53-1	40	1-530	wel’a	w e l ʔ a	0.0	True	0.284198113208
40-1-54-1	40	1-540	kates	k a t e s	0.0	True	0.1703187251
40-1-55-1	40	1-550	yoklep	y o k l e p	0.0	False	0.16
40-1-56-1	40	1-560	pelhay y’iplhi	p e lˠ a j # j ʔ i p lˠ i	0.0	False	0.104247104247
40-1-57-1	40	1-570	pelhach’e	p e lˠ a tʃ ʔ e	0.0	False	0.255681818182
40-1-58-1	40	1-580	pelhay	p e lˠ a j	0.0	False	0.235401459854
40-1-59-1	40	1-590	lawu	l a w u	0.0	False	0.136363636364
40-1-61-1	40	1-610	fwala	fʷ a l a	0.0	False	0.208632834963
40-1-62-1	40	1-620	hunataj	h u n a t a x	0.0	False	0.147272727273
40-1-63-1	40	1-630	hipelh	h i p e l̥	0.0	True	0.112745098039
40-1-64-1	40	1-640	iyas	i j a s	0.0	False	0.163822525597
40-1-71-1	40	1-710	layalh	l a j a l̥	0.5	False	0.47572815534
40-1-72-1	40	1-720	ihwok	i hʷ o k	0.0	True	0.171739130435
40-1-73-1	40	1-730	pele	p e l e	0.0	True	0.164705882353
40-1-74-1	40	1-740	tetsetaj	t e ts e t a x	0.0	False	0.140625
40-1-75-1	40	1-750	iwumcho’	i w u m tʃ o ʔ	0.0	True	0.0836776859504
40-1-77-1	40	1-770	fwiy’et	fʷ i j ʔ e t	0.0	False	0.230769230769
40-1-78-1	40	1-780	lawhoy	l a w̥ o j	0.0	False	0.363194444444
40-1-81-1	40	1-810	itoj	i t o x	0.0	True	0.0354578882858
40-1-82-1	40	1-820	itoj lhalh	i t o x # lˠ a l̥	0.0	False	0.180036930652
40-1-83-1	40	1-830	tetsey	t e ts e j	0.0	True	0.0840517241379
